expert_id,full_name,display_name,name_variants,pubmed_author_query,orcid,designation,institution,department,research_areas,domains,profile_url,source,date_added,last_verified,active,notes
akira-endo,Akira Endo,Assistant Professor Akira Endo,Akira E|Endo A,,,Assistant Professor,National University of Singapore,,Infectious Disease Epidemiology|Modelling,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
alain-filloux,Alain Filloux,Professor Alain Filloux,Alain F|Filloux A,,,Professor,Nanyang Technological University,,Molecular Microbiology|Bacterial Pathogenesis|Pseudomonas Aeruginosa|Bacterial Biofilms|Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
alex-cook,Alex Cook,Professor Alex Cook,Alex C|Cook A,,,Professor,National University of Singapore,,Modelling|Public Health|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
amit-singhal,Amit Singhal,Dr Amit Singhal,Amit S|Singhal A,,,Dr,"Agency for Science, Technology and Research",,Immunology|Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
angela-chow,Angela Chow,Associate Professor Angela Chow,Angela C|Chow A,,,Associate Professor,Tan Tock Seng Hospital,,Antimicrobial Stewardship|Emerging Infectious Diseases|Infectious Disease Epidemiology|Implementation Science|Infection Prevention and Control|Population Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
anthony-tanoto-tan,Anthony Tanoto Tan,Assistant Professor Anthony Tanoto Tan,Anthony TT|Tan AT|Anthony T|Tan A,,,Assistant Professor,Duke-NUS Medical School,,HBV Pathogenesis|T Cell Immunotherapy|T Cell Immune Response,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
anthony-yii-chau-ang,Anthony Yii Chau Ang,Clinical Assistant Professor Anthony Yii Chau Ang,Anthony YCA|Ang AYC|Anthony Y|Ang A,,,Clinical Assistant Professor,Changi General Hospital,,Clinical Infectious Diseases|Respiratory Tract Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
antonio-bertoletti,Antonio Bertoletti,Professor Antonio Bertoletti,Antonio B|Bertoletti A,,,Professor,Duke-NUS Medical School,,HBV Infection|Respiratory Viruses (Influenza|SARS-CoV-2)|Immunology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ashley-lauren-st-john,Ashley Lauren St. John,Associate Professor Ashley Lauren St. John,Ashley LSJ|John ALS|Ashley L|John A,,,Associate Professor,Duke-NUS Medical School,,Immunology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
barnaby-edward-young,Barnaby Edward Young,Associate Professor Barnaby Edward Young,Barnaby EY|Young BE|Barnaby E|Young B,,,Associate Professor,Tan Tock Seng Hospital,,Respiratory Tract Infections|Vaccines|Therapeutics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
benjamin-cherng-pei-zhi,Benjamin Cherng Pei Zhi,Clinical Assistant Professor Benjamin Cherng Pei Zhi,Benjamin CPZ|Zhi BCP|Benjamin C|Zhi B,,,Clinical Assistant Professor,Singapore General Hospital,,Antimicrobial Resistance|Bacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
bernett-lee,Bernett Lee,Assistant Professor Bernett Lee,Bernett L|Lee B,,,Assistant Professor,Nanyang Technological University,,Bioinformatics|Omics Technology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
brenda-ang,Brenda Ang,Associate Professor Brenda Ang,Brenda A|Ang B,,,Associate Professor,Tan Tock Seng Hospital,,Epidemiology|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
candice-chan,Candice Chan,Clinical Assistant Professor Candice Chan,Candice C|Chan C,,,Clinical Assistant Professor,Singapore General Hospital,,Emerging Infectious Diseases|Vaccinology|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
catherine-wei-min-ong,Catherine Wei Min Ong,Associate Professor Catherine Wei Min Ong,Catherine WMO|Ong CWM|Catherine W|Ong C,,,Associate Professor,National University of Singapore,,Tuberculosis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chan-kuan-rong,Chan Kuan Rong,Dr Chan Kuan Rong,Chan KR|Rong CK|Chan K|Rong C,,,Dr,Duke-NUS Medical School,,Dengue|Systems Biology|Immunology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chanditha-hapuarachchi,Chanditha Hapuarachchi,Dr Chanditha Hapuarachchi,Chanditha H|Hapuarachchi C,,,Dr,National Environment Agency,,Vector Borne Diseases Risk Assessment and Surveillance|Evolution of Mosquito Borne Pathogens|Molecular Assay Development for Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chew-ka-lip,Chew Ka Lip,Dr Chew Ka Lip,Chew KL|Lip CK|Chew K|Lip C,,,Dr,National University Hospital,,Clinical Microbiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chia-po-ying,Chia Po Ying,Assistant Professor Chia Po Ying,Chia PY|Ying CP|Chia P|Ying C,,,Assistant Professor,Tan Tock Seng Hospital,,Clinical Infectious Diseases|Dengue|Emerging Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chong-chia-yin,Chong Chia Yin,Adjunct Associate Professor Chong Chia Yin,Chong CY|Yin CC|Chong C|Yin C,,,Adjunct Associate Professor,KK Women's and Children's Hospital,,Paediatric Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chris-sham,Chris Sham,Assistant Professor Chris Sham,Chris S|Sham C,,,Assistant Professor,National University of Singapore,,Antimicrobial Resistance|Bacteriology|Microbiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
chua-kaw-bing,Chua Kaw Bing,Dr Chua Kaw Bing,Chua KB|Bing CK|Chua K|Bing C,,,Dr,Temasek Life Sciences Laboratory,,Molecular Pathogenesis|Human and Veterinary Diseases|Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
crystal-wong-shie-lyeen,Crystal Wong Shie Lyeen,Dr Crystal Wong Shie Lyeen,Crystal WSL|Lyeen CWS|Crystal W|Lyeen C,,,Dr,Changi General Hospital,,Clinical Microbiology|Bacteriology|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
dale-fisher,Dale Fisher,Professor Dale Fisher,Dale F|Fisher D,,,Professor,National University of Singapore,,Outbreak Preparedness and Response|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
david-allen,David Allen,Associate Professor David Allen,David A|Allen D,,,Associate Professor,National University of Singapore,,Emerging Infectious Diseases|Respiratory Viruses in the Built Environment,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
david-leslie-paterson,David Leslie Paterson,Professor David Leslie Paterson,David LP|Paterson DL|David L|Paterson D,,,Professor,National University of Singapore,,Clinical Trials|Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
david-lye,David Lye,Professor David Lye,David L|Lye D,,,Professor,Communicable Diseases Agency,,Antimicrobial Resistance|COVID-19|Dengue,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
de-alwis-adamberage-ruklanthi,De Alwis Adamberage Ruklanthi,Assistant Professor De Alwis Adamberage Ruklanthi,De AAR|Ruklanthi DAA|De A|Ruklanthi D,,,Assistant Professor,Duke-NUS Medical School,,Viral Surveillance (genomic and serology)|Vaccine Immune Responses|Antibody Therapeutic Development,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
deborah-ng,Deborah Ng,Dr Deborah Ng,Deborah N|Ng D,,,Dr,Communicable Diseases Agency,,Clinical Infectious Diseases|Tuberculosis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
dickens-borame-sue-lee,Dickens Borame Sue Lee,Assistant Professor Dickens Borame Sue Lee,Dickens BSL|Lee DBS|Dickens B|Lee D,,,Assistant Professor,National University of Singapore,,Epidemiology|Public Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
eric-yap-peng-huat,Eric Yap Peng Huat,Associate Professor Eric Yap Peng Huat,Eric YPH|Huat EYP|Eric Y|Huat E,,,Associate Professor,Nanyang Technological University,,Genomics|Microbiology|Molecular Diagnostics|Microfluidics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
eugenia-ong-ziying,Eugenia Ong Ziying,Dr Eugenia Ong Ziying,Eugenia OZ|Ziying EO|Eugenia O|Ziying E,,,Dr,Duke-NUS Medical School,,Host-Virus Interactions|Preclinical and Clinical Development of Vaccines and Therapeutics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
fong-kok-choon-raymond,Fong Kok Choon Raymond,Dr Fong Kok Choon Raymond,Fong KCR|Raymond FKC|Fong K|Raymond F,,,Dr,Khoo Teck Puat Hospital,,Clinical Infectious Diseases|Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
gan-yunn-hwen,Gan Yunn Hwen,Associate Professor Gan Yunn Hwen,Gan YH|Hwen GY|Gan Y|Hwen G,,,Associate Professor,National University of Singapore,,Bacteriology|Host-Virus Interactions|Host Immunity,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
gavin-james-smith,Gavin James Smith,Professor Gavin James Smith,Gavin JS|Smith GJ|Gavin J|Smith G,,,Professor,Duke-NUS Medical School,,Emerging Infectious Diseases|Evolution|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
guan-xueli,Guan Xueli,Assistant Professor Guan Xueli,Guan X|Xueli G,,,Assistant Professor,Nanyang Technological University,,Lipidomics|Systems Biology|Lipid Metabolism|Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
guillaume-carissimo,Guillaume Carissimo,Adjunct Assistant Professor Guillaume Carissimo,Guillaume C|Carissimo G,,,Adjunct Assistant Professor,"Agency for Science, Technology and Research",,Immunology|Virology|Host-Virus Interactions,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
hannah-clapham,Hannah Clapham,Assistant Professor Hannah Clapham,Hannah C|Clapham H,,,Assistant Professor,National University of Singapore,,Epidemiology|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
helen-oh-may-lin,Helen Oh May Lin,Clinical Associate Professor Helen Oh May Lin,Helen OML|Lin HOM|Helen O|Lin H,,,Clinical Associate Professor,Changi General Hospital,,Vaccinology|Antimicrobial Resistance|Vaccine-preventable Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
hildon-zoe-jane-lara,Hildon Zoe Jane-Lara,Assistant Professor Hildon Zoe Jane-Lara,Hildon ZJ|Jane-Lara HZ|Hildon Z|Jane-Lara H,,,Assistant Professor,National University of Singapore,,Social and Behaviour Change (SBC)|Implementation Research and Practice,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
hsu-li-yang,Hsu Li Yang,Professor Hsu Li Yang,Hsu LY|Yang HL|Hsu L|Yang H,,,Professor,National University of Singapore,,Antimicrobial Resistance|Epidemiology|Genomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
indumathi-venkatachalam,Indumathi Venkatachalam,Dr Indumathi Venkatachalam,Indumathi V|Venkatachalam I,,,Dr,Singapore General Hospital,,Automated Surveillance Systems|Healthcare Epidemiology|Antimicrobial Resistance|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jade-soh,Jade Soh,Clinical Assistant Professor Jade Soh,Jade S|Soh J,,,Clinical Assistant Professor,Sengkang General Hospital,,Clinical Infectious Diseases|Vaccination|OPAT,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jaime-chien-mei-fong,Jaime Chien Mei Fong,Clinical Assistant Professor Jaime Chien Mei Fong,Jaime CMF|Fong JCM|Jaime C|Fong J,,,Clinical Assistant Professor,Changi General Hospital,,Antimicrobial Resistance|Clinical Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jamie-tan-bee-xian,Jamie Tan Bee Xian,Dr Jamie Tan Bee Xian,Jamie TBX|Xian JTB|Jamie T|Xian J,,,Dr,Singapore General Hospital,,Mycobacteriology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jasmine-chung-shimin,Jasmine Chung Shimin,Clinical Assistant Professor Jasmine Chung Shimin,Jasmine CS|Shimin JC|Jasmine C|Shimin J,,,Clinical Assistant Professor,Singapore General Hospital,,Antimicrobial Resistance|Antimicrobial Stewardship|Mycology|Phage Therapy,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jayantha-gunaratne,Jayantha Gunaratne,Adjunct Associate Professor Jayantha Gunaratne,Jayantha G|Gunaratne J,,,Adjunct Associate Professor,"Agency for Science, Technology and Research",,Computational Biology|Proteomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jean-sim,Jean Sim,Dr Jean Sim,Jean S|Sim J,,,Dr,Singapore General Hospital,,Antimicrobial Resistance|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jenny-low-guek-hong,Jenny Low Guek Hong,Professor Jenny Low Guek Hong,Jenny LGH|Hong JLG|Jenny L|Hong J,,,Professor,Singapore General Hospital,,Dengue|Therapeutics|Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
