mesh_term,category,notes
Humans,demographic,
Animals,demographic,
Male,demographic,
Female,demographic,
Adult,demographic,
Aged,demographic,
"Aged, 80 and over",demographic,
Middle Aged,demographic,
Adolescent,demographic,
Child,demographic,
"Child, Preschool",demographic,
Infant,demographic,
"Infant, Newborn",demographic,
Young Adult,demographic,
Pregnancy,demographic,
Pregnant Women,demographic,
Mice,demographic,"animal model species -- meaningful for basic-research flagging, not for ""which disease"""
Rats,demographic,
"Mice, Inbred C57BL",demographic,
Cell Line,demographic,
Retrospective Studies,study_design,
Prospective Studies,study_design,
Cross-Sectional Studies,study_design,
Cohort Studies,study_design,
Case-Control Studies,study_design,
Follow-Up Studies,study_design,
Longitudinal Studies,study_design,
Multicenter Study,study_design,
Pilot Projects,study_design,
Feasibility Studies,study_design,
Reproducibility of Results,study_design,
Data Collection,study_design,
Health Surveys,study_design,
Surveys and Questionnaires,study_design,
Sample Size,study_design,
"Statistics, Nonparametric",study_design,
"Models, Statistical",study_design,
Randomized Controlled Trials as Topic,study_design,
Prevalence,generic_epi,too generic to name a sub-domain; every domain reports prevalence
Incidence,generic_epi,
Risk Factors,generic_epi,
Time Factors,generic_epi,
Age Factors,generic_epi,
Sex Factors,generic_epi,
Socioeconomic Factors,generic_epi,
Seasons,generic_epi,
Age Distribution,generic_epi,
Sex Distribution,generic_epi,
Comorbidity,generic_epi,
Severity of Illness Index,generic_epi,
Prognosis,generic_epi,
Treatment Outcome,generic_epi,generic across all treatment papers regardless of disease
Recurrence,generic_epi,
Survival Rate,generic_epi,
Survival Analysis,generic_epi,
Hospitalization,generic_epi,
Length of Stay,generic_epi,
Singapore,geography,geography is already tracked via institution/country resolution
Southeast Asia,geography,
Asia,geography,
"Asia, Southeastern",geography,
Malaysia,geography,
Thailand,geography,
Indonesia,geography,
Vietnam,geography,
China,geography,
India,geography,
Philippines,geography,
Cambodia,geography,
Myanmar,geography,
Global Health,geography,
Communicable Diseases,generic_disease,umbrella term used to build the domain hedge query itself -- too broad to be a sub-domain
Infection,generic_disease,
Infections,generic_disease,
Disease Outbreaks,generic_disease,
Epidemics,generic_disease,
Population Surveillance,generic_disease,"leans ""research type""; kept generic here since it doesn't name a pathogen"
Anti-Infective Agents,generic_disease,
Vaccines,generic_disease,"bare heading only -- disease-specific headings like ""Dengue Vaccines"" are NOT excluded"
Vaccination,generic_disease,
Drug Therapy,generic_disease,
Pandemics,generic_disease,
Public Health,generic_disease,
Cross Infection,generic_disease,"already a whole AMR/HAI domain-level indicator, too broad within that domain"
