edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
khan-p--rich-m#tb,khan-p--rich-m,khan-p,rich-m,tb,9,"Khan, Palwasha Y","Rich, Michael L",London School of Hygiene & Tropical Medicine,,Singapore,United States
mitnick-c--rich-m#tb,mitnick-c--rich-m,mitnick-c,rich-m,tb,9,"Mitnick, Carole D","Rich, Michael L",Harvard University,,United States,United States
franke-m--hewison-c#tb,franke-m--hewison-c,franke-m,hewison-c,tb,8,"Franke, Molly","Hewison, Catherine",Harvard University,,United States,France
franke-m--huerga-h#tb,franke-m--huerga-h,franke-m,huerga-h,tb,8,"Franke, Molly","Huerga, Helena",Harvard University,,United States,France
franke-m--khan-p#tb,franke-m--khan-p,franke-m,khan-p,tb,8,"Franke, Molly","Khan, Palwasha Y",Harvard University,London School of Hygiene & Tropical Medicine,United States,Singapore
franke-m--mitnick-c#tb,franke-m--mitnick-c,franke-m,mitnick-c,tb,8,"Franke, Molly","Mitnick, Carole D",Harvard University,Harvard University,United States,United States
franke-m--rich-m#tb,franke-m--rich-m,franke-m,rich-m,tb,8,"Franke, Molly","Rich, Michael L",Harvard University,,United States,United States
hewison-c--huerga-h#tb,hewison-c--huerga-h,hewison-c,huerga-h,tb,8,"Hewison, Catherine","Huerga, Helena",,,France,France
hewison-c--khan-p#tb,hewison-c--khan-p,hewison-c,khan-p,tb,8,"Hewison, Catherine","Khan, Palwasha Y",,London School of Hygiene & Tropical Medicine,France,Singapore
hewison-c--mitnick-c#tb,hewison-c--mitnick-c,hewison-c,mitnick-c,tb,8,"Hewison, Catherine","Mitnick, Carole D",,Harvard University,France,United States
hewison-c--rich-m#tb,hewison-c--rich-m,hewison-c,rich-m,tb,8,"Hewison, Catherine","Rich, Michael L",,,France,United States
huerga-h--khan-p#tb,huerga-h--khan-p,huerga-h,khan-p,tb,8,"Huerga, Helena","Khan, Palwasha Y",,London School of Hygiene & Tropical Medicine,France,Singapore
huerga-h--mitnick-c#tb,huerga-h--mitnick-c,huerga-h,mitnick-c,tb,8,"Huerga, Helena","Mitnick, Carole D",,Harvard University,France,United States
huerga-h--rich-m#tb,huerga-h--rich-m,huerga-h,rich-m,tb,8,"Huerga, Helena","Rich, Michael L",,,France,United States
