edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
Singapore--United States#tb,Singapore--United States,Singapore,United States,tb,35,Singapore,United States,Southeast Asia,North America,1,1
Singapore--United Kingdom#tb,Singapore--United Kingdom,Singapore,United Kingdom,tb,27,Singapore,United Kingdom,Southeast Asia,Europe,1,1
United Kingdom--United States#tb,United Kingdom--United States,United Kingdom,United States,tb,21,United Kingdom,United States,Europe,North America,1,0
Singapore--United Kingdom#amr_hai,Singapore--United Kingdom,Singapore,United Kingdom,amr_hai,19,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Australia--Singapore#amr_hai,Australia--Singapore,Australia,Singapore,amr_hai,17,Australia,Singapore,Oceania,Southeast Asia,1,1
Singapore--United States#sti,Singapore--United States,Singapore,United States,sti,17,Singapore,United States,Southeast Asia,North America,1,1
France--Singapore#tb,France--Singapore,France,Singapore,tb,14,France,Singapore,Europe,Southeast Asia,1,1
France--United Kingdom#tb,France--United Kingdom,France,United Kingdom,tb,14,France,United Kingdom,Europe,Europe,1,0
France--United States#tb,France--United States,France,United States,tb,14,France,United States,Europe,North America,1,0
Singapore--United States#vector_borne,Singapore--United States,Singapore,United States,vector_borne,14,Singapore,United States,Southeast Asia,North America,1,1
Singapore--United States#rti,Singapore--United States,Singapore,United States,rti,14,Singapore,United States,Southeast Asia,North America,1,1
Singapore--United Kingdom#rti,Singapore--United Kingdom,Singapore,United Kingdom,rti,14,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Singapore--United Kingdom#vector_borne,Singapore--United Kingdom,Singapore,United Kingdom,vector_borne,13,Singapore,United Kingdom,Southeast Asia,Europe,1,1
China--Singapore#amr_hai,China--Singapore,China,Singapore,amr_hai,13,China,Singapore,East Asia,Southeast Asia,1,1
Singapore--Switzerland#tb,Singapore--Switzerland,Singapore,Switzerland,tb,13,Singapore,Switzerland,Southeast Asia,Europe,1,1
Australia--Singapore#vector_borne,Australia--Singapore,Australia,Singapore,vector_borne,12,Australia,Singapore,Oceania,Southeast Asia,1,1
Australia--Singapore#tb,Australia--Singapore,Australia,Singapore,tb,12,Australia,Singapore,Oceania,Southeast Asia,1,1
China--Singapore#sti,China--Singapore,China,Singapore,sti,12,China,Singapore,East Asia,Southeast Asia,1,1
Singapore--South Africa#tb,Singapore--South Africa,Singapore,South Africa,tb,12,Singapore,South Africa,Southeast Asia,Africa,1,1
Singapore--United Kingdom#sti,Singapore--United Kingdom,Singapore,United Kingdom,sti,12,Singapore,United Kingdom,Southeast Asia,Europe,1,1
China--Singapore#rti,China--Singapore,China,Singapore,rti,11,China,Singapore,East Asia,Southeast Asia,1,1
South Africa--United States#tb,South Africa--United States,South Africa,United States,tb,11,South Africa,United States,Africa,North America,1,0
Singapore--United States#amr_hai,Singapore--United States,Singapore,United States,amr_hai,11,Singapore,United States,Southeast Asia,North America,1,1
India--Singapore#tb,India--Singapore,India,Singapore,tb,11,India,Singapore,South Asia,Southeast Asia,1,1
Pakistan--Singapore#tb,Pakistan--Singapore,Pakistan,Singapore,tb,11,Pakistan,Singapore,South Asia,Southeast Asia,1,1
Canada--Singapore#tb,Canada--Singapore,Canada,Singapore,tb,10,Canada,Singapore,North America,Southeast Asia,1,1
Switzerland--United States#tb,Switzerland--United States,Switzerland,United States,tb,10,Switzerland,United States,Europe,North America,1,0
Indonesia--Singapore#tb,Indonesia--Singapore,Indonesia,Singapore,tb,10,Indonesia,Singapore,Southeast Asia,Southeast Asia,1,1
South Africa--United Kingdom#tb,South Africa--United Kingdom,South Africa,United Kingdom,tb,10,South Africa,United Kingdom,Africa,Europe,1,0
Malaysia--Singapore#vector_borne,Malaysia--Singapore,Malaysia,Singapore,vector_borne,9,Malaysia,Singapore,Southeast Asia,Southeast Asia,1,1
Singapore--Switzerland#vector_borne,Singapore--Switzerland,Singapore,Switzerland,vector_borne,9,Singapore,Switzerland,Southeast Asia,Europe,1,1
China--Singapore#vector_borne,China--Singapore,China,Singapore,vector_borne,9,China,Singapore,East Asia,Southeast Asia,1,1
Singapore--Thailand#amr_hai,Singapore--Thailand,Singapore,Thailand,amr_hai,9,Singapore,Thailand,Southeast Asia,Southeast Asia,1,1
