edge_id,pair_id,source,target,domain,weight,source_country,target_country,source_region,target_region,is_cross_border,involves_singapore
Nanyang Technological University--National University of Singapore#vector_borne,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,vector_borne,16,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Harvard University--London School of Hygiene & Tropical Medicine#tb,Harvard University--London School of Hygiene & Tropical Medicine,Harvard University,London School of Hygiene & Tropical Medicine,tb,9,United States,United Kingdom,North America,Europe,1,0
National University Hospital--National University of Singapore#tb,National University Hospital--National University of Singapore,National University Hospital,National University of Singapore,tb,9,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Mahidol University--National University of Singapore#amr_hai,Mahidol University--National University of Singapore,Mahidol University,National University of Singapore,amr_hai,7,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#sti,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,sti,7,United Kingdom,Singapore,Europe,Southeast Asia,1,1
National Centre for Infectious Diseases--National University of Singapore#amr_hai,National Centre for Infectious Diseases--National University of Singapore,National Centre for Infectious Diseases,National University of Singapore,amr_hai,7,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Tan Tock Seng Hospital#amr_hai,National University of Singapore--Tan Tock Seng Hospital,National University of Singapore,Tan Tock Seng Hospital,amr_hai,7,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University of Singapore#amr_hai,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,amr_hai,7,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Environmental Health Institute--Nanyang Technological University#vector_borne,Environmental Health Institute--Nanyang Technological University,Environmental Health Institute,Nanyang Technological University,vector_borne,7,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Environmental Health Institute--National University of Singapore#vector_borne,Environmental Health Institute--National University of Singapore,Environmental Health Institute,National University of Singapore,vector_borne,7,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Hospital--National University of Singapore#rti,National University Hospital--National University of Singapore,National University Hospital,National University of Singapore,rti,6,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--University of Oxford#amr_hai,National University of Singapore--University of Oxford,National University of Singapore,University of Oxford,amr_hai,6,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National University Hospital--National University of Singapore#amr_hai,National University Hospital--National University of Singapore,National University Hospital,National University of Singapore,amr_hai,6,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#tb,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,tb,6,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Nanyang Technological University--National University of Singapore#tb,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,tb,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--University of Oxford#vector_borne,National University of Singapore--University of Oxford,National University of Singapore,University of Oxford,vector_borne,5,Singapore,United Kingdom,Southeast Asia,Europe,1,1
Nanyang Technological University--National University of Singapore#rti,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,rti,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University Health System--National University of Singapore#rti,National University Health System--National University of Singapore,National University Health System,National University of Singapore,rti,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--National University of Singapore#amr_hai,Duke-NUS Medical School--National University of Singapore,Duke-NUS Medical School,National University of Singapore,amr_hai,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#vector_borne,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,vector_borne,5,United Kingdom,Singapore,Europe,Southeast Asia,1,1
Mahidol University--University of Oxford#amr_hai,Mahidol University--University of Oxford,Mahidol University,University of Oxford,amr_hai,5,Thailand,United Kingdom,Southeast Asia,Europe,1,0
National University Health System--National University of Singapore#amr_hai,National University Health System--National University of Singapore,National University Health System,National University of Singapore,amr_hai,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Oxford University Clinical Research Unit#amr_hai,National University of Singapore--Oxford University Clinical Research Unit,National University of Singapore,Oxford University Clinical Research Unit,amr_hai,5,Singapore,Viet Nam,Southeast Asia,Southeast Asia,1,1
Nanyang Technological University--National Centre for Infectious Diseases#vector_borne,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,vector_borne,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#amr_hai,National Centre for Infectious Diseases--Tan Tock Seng Hospital,National Centre for Infectious Diseases,Tan Tock Seng Hospital,amr_hai,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--Tan Tock Seng Hospital#tb,National Centre for Infectious Diseases--Tan Tock Seng Hospital,National Centre for Infectious Diseases,Tan Tock Seng Hospital,tb,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Tan Tock Seng Hospital#tb,Nanyang Technological University--Tan Tock Seng Hospital,Nanyang Technological University,Tan Tock Seng Hospital,tb,5,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--University of Melbourne#vector_borne,Nanyang Technological University--University of Melbourne,Nanyang Technological University,University of Melbourne,vector_borne,5,Singapore,Australia,Southeast Asia,Oceania,1,1
Mahidol University--National University of Singapore#vector_borne,Mahidol University--National University of Singapore,Mahidol University,National University of Singapore,vector_borne,4,Thailand,Singapore,Southeast Asia,Southeast Asia,1,1
National University of Singapore--World Health Organization#vector_borne,National University of Singapore--World Health Organization,National University of Singapore,World Health Organization,vector_borne,4,Singapore,Switzerland,Southeast Asia,Europe,1,1
KK Women's and Children's Hospital--National University of Singapore#rti,KK Women's and Children's Hospital--National University of Singapore,KK Women's and Children's Hospital,National University of Singapore,rti,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Singapore General Hospital#rti,National University of Singapore--Singapore General Hospital,National University of Singapore,Singapore General Hospital,rti,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Tan Tock Seng Hospital#rti,National University of Singapore--Tan Tock Seng Hospital,National University of Singapore,Tan Tock Seng Hospital,rti,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National Centre for Infectious Diseases#tb,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,tb,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Oxford University Clinical Research Unit--University of Oxford#amr_hai,Oxford University Clinical Research Unit--University of Oxford,Oxford University Clinical Research Unit,University of Oxford,amr_hai,4,Viet Nam,United Kingdom,Southeast Asia,Europe,1,0
Duke-NUS Medical School--National University of Singapore#rti,Duke-NUS Medical School--National University of Singapore,Duke-NUS Medical School,National University of Singapore,rti,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National University of Singapore#other_id,Nanyang Technological University--National University of Singapore,Nanyang Technological University,National University of Singapore,other_id,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--Tan Tock Seng Hospital#amr_hai,Nanyang Technological University--Tan Tock Seng Hospital,Nanyang Technological University,Tan Tock Seng Hospital,amr_hai,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Tan Tock Seng Hospital#tb,National University of Singapore--Tan Tock Seng Hospital,National University of Singapore,Tan Tock Seng Hospital,tb,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Singapore General Hospital--Tan Tock Seng Hospital#tb,Singapore General Hospital--Tan Tock Seng Hospital,Singapore General Hospital,Tan Tock Seng Hospital,tb,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Nanyang Technological University--National Centre for Infectious Diseases#amr_hai,Nanyang Technological University--National Centre for Infectious Diseases,Nanyang Technological University,National Centre for Infectious Diseases,amr_hai,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--Singapore General Hospital#other_id,National University of Singapore--Singapore General Hospital,National University of Singapore,Singapore General Hospital,other_id,4,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--Nanyang Technological University#tb,A*STAR Infectious Diseases Labs--Nanyang Technological University,A*STAR Infectious Diseases Labs,Nanyang Technological University,tb,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
A*STAR Infectious Diseases Labs--National University of Singapore#tb,A*STAR Infectious Diseases Labs--National University of Singapore,A*STAR Infectious Diseases Labs,National University of Singapore,tb,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Mahidol University--University of Oxford#vector_borne,Mahidol University--University of Oxford,Mahidol University,University of Oxford,vector_borne,3,Thailand,United Kingdom,Southeast Asia,Europe,1,0
National Centre for Infectious Diseases--National University of Singapore#rti,National Centre for Infectious Diseases--National University of Singapore,National Centre for Infectious Diseases,National University of Singapore,rti,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Mahidol University--Oxford University Clinical Research Unit#amr_hai,Mahidol University--Oxford University Clinical Research Unit,Mahidol University,Oxford University Clinical Research Unit,amr_hai,3,Thailand,Viet Nam,Southeast Asia,Southeast Asia,1,0
National Centre for Infectious Diseases--National University of Singapore#vector_borne,National Centre for Infectious Diseases--National University of Singapore,National Centre for Infectious Diseases,National University of Singapore,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#rti,London School of Hygiene & Tropical Medicine--National University of Singapore,London School of Hygiene & Tropical Medicine,National University of Singapore,rti,3,United Kingdom,Singapore,Europe,Southeast Asia,1,1
National University Hospital--University of Oxford#amr_hai,National University Hospital--University of Oxford,National University Hospital,University of Oxford,amr_hai,3,Singapore,United Kingdom,Southeast Asia,Europe,1,1
National University of Singapore--Singapore General Hospital#amr_hai,National University of Singapore--Singapore General Hospital,National University of Singapore,Singapore General Hospital,amr_hai,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National Centre for Infectious Diseases--National University Hospital#sti,National Centre for Infectious Diseases--National University Hospital,National Centre for Infectious Diseases,National University Hospital,sti,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
"Agency for Science, Technology and Research--National University of Singapore#rti","Agency for Science, Technology and Research--National University of Singapore","Agency for Science, Technology and Research",National University of Singapore,rti,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
Duke-NUS Medical School--National University of Singapore#vector_borne,Duke-NUS Medical School--National University of Singapore,Duke-NUS Medical School,National University of Singapore,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
National University of Singapore--SingHealth#vector_borne,National University of Singapore--SingHealth,National University of Singapore,SingHealth,vector_borne,3,Singapore,Singapore,Southeast Asia,Southeast Asia,0,1
