edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
khan-p--rich-m#tb,khan-p--rich-m,tb,1,khan-p,"Khan, Palwasha Y",0.182363,0.402472,9,khan-p,rich-m,,
khan-p--rich-m#tb,khan-p--rich-m,tb,2,rich-m,"Rich, Michael L",0.179287,0.398719,9,khan-p,rich-m,,
mitnick-c--rich-m#tb,mitnick-c--rich-m,tb,1,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,9,mitnick-c,rich-m,,
mitnick-c--rich-m#tb,mitnick-c--rich-m,tb,2,rich-m,"Rich, Michael L",0.179287,0.398719,9,mitnick-c,rich-m,,
franke-m--hewison-c#tb,franke-m--hewison-c,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,8,franke-m,hewison-c,,
franke-m--hewison-c#tb,franke-m--hewison-c,tb,2,hewison-c,"Hewison, Catherine",0.17815,0.401443,8,franke-m,hewison-c,,
franke-m--huerga-h#tb,franke-m--huerga-h,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,8,franke-m,huerga-h,,
franke-m--huerga-h#tb,franke-m--huerga-h,tb,2,huerga-h,"Huerga, Helena",0.180495,0.403451,8,franke-m,huerga-h,,
franke-m--khan-p#tb,franke-m--khan-p,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,8,franke-m,khan-p,,
franke-m--khan-p#tb,franke-m--khan-p,tb,2,khan-p,"Khan, Palwasha Y",0.182363,0.402472,8,franke-m,khan-p,,
franke-m--mitnick-c#tb,franke-m--mitnick-c,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,8,franke-m,mitnick-c,,
franke-m--mitnick-c#tb,franke-m--mitnick-c,tb,2,mitnick-c,"Mitnick, Carole D",0.177342,0.399036,8,franke-m,mitnick-c,,
franke-m--rich-m#tb,franke-m--rich-m,tb,1,franke-m,"Franke, Molly",0.180019,0.401441,8,franke-m,rich-m,,
franke-m--rich-m#tb,franke-m--rich-m,tb,2,rich-m,"Rich, Michael L",0.179287,0.398719,8,franke-m,rich-m,,
