edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
Singapore--United States#tb,Singapore--United States,tb,1,Singapore,Singapore,0.429978,0.539306,35,Singapore,United States,1,1
Singapore--United States#tb,Singapore--United States,tb,2,United States,United States,0.440022,0.576858,35,Singapore,United States,1,1
Singapore--United Kingdom#tb,Singapore--United Kingdom,tb,1,Singapore,Singapore,0.429978,0.539306,27,Singapore,United Kingdom,1,1
Singapore--United Kingdom#tb,Singapore--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,27,Singapore,United Kingdom,1,1
United Kingdom--United States#tb,United Kingdom--United States,tb,1,United Kingdom,United Kingdom,0.355643,0.570016,21,United Kingdom,United States,1,0
United Kingdom--United States#tb,United Kingdom--United States,tb,2,United States,United States,0.440022,0.576858,21,United Kingdom,United States,1,0
Singapore--United Kingdom#amr_hai,Singapore--United Kingdom,amr_hai,1,Singapore,Singapore,0.429978,0.539306,19,Singapore,United Kingdom,1,1
Singapore--United Kingdom#amr_hai,Singapore--United Kingdom,amr_hai,2,United Kingdom,United Kingdom,0.355643,0.570016,19,Singapore,United Kingdom,1,1
Australia--Singapore#amr_hai,Australia--Singapore,amr_hai,1,Australia,Australia,0.390756,0.648197,17,Australia,Singapore,1,1
Australia--Singapore#amr_hai,Australia--Singapore,amr_hai,2,Singapore,Singapore,0.429978,0.539306,17,Australia,Singapore,1,1
Singapore--United States#sti,Singapore--United States,sti,1,Singapore,Singapore,0.429978,0.539306,17,Singapore,United States,1,1
Singapore--United States#sti,Singapore--United States,sti,2,United States,United States,0.440022,0.576858,17,Singapore,United States,1,1
France--Singapore#tb,France--Singapore,tb,1,France,France,0.37365,0.542016,14,France,Singapore,1,1
France--Singapore#tb,France--Singapore,tb,2,Singapore,Singapore,0.429978,0.539306,14,France,Singapore,1,1
France--United Kingdom#tb,France--United Kingdom,tb,1,France,France,0.37365,0.542016,14,France,United Kingdom,1,0
France--United Kingdom#tb,France--United Kingdom,tb,2,United Kingdom,United Kingdom,0.355643,0.570016,14,France,United Kingdom,1,0
France--United States#tb,France--United States,tb,1,France,France,0.37365,0.542016,14,France,United States,1,0
France--United States#tb,France--United States,tb,2,United States,United States,0.440022,0.576858,14,France,United States,1,0
Singapore--United States#vector_borne,Singapore--United States,vector_borne,1,Singapore,Singapore,0.429978,0.539306,14,Singapore,United States,1,1
Singapore--United States#vector_borne,Singapore--United States,vector_borne,2,United States,United States,0.440022,0.576858,14,Singapore,United States,1,1
Singapore--United States#rti,Singapore--United States,rti,1,Singapore,Singapore,0.429978,0.539306,14,Singapore,United States,1,1
Singapore--United States#rti,Singapore--United States,rti,2,United States,United States,0.440022,0.576858,14,Singapore,United States,1,1
Singapore--United Kingdom#rti,Singapore--United Kingdom,rti,1,Singapore,Singapore,0.429978,0.539306,14,Singapore,United Kingdom,1,1
Singapore--United Kingdom#rti,Singapore--United Kingdom,rti,2,United Kingdom,United Kingdom,0.355643,0.570016,14,Singapore,United Kingdom,1,1
Singapore--United Kingdom#vector_borne,Singapore--United Kingdom,vector_borne,1,Singapore,Singapore,0.429978,0.539306,13,Singapore,United Kingdom,1,1
Singapore--United Kingdom#vector_borne,Singapore--United Kingdom,vector_borne,2,United Kingdom,United Kingdom,0.355643,0.570016,13,Singapore,United Kingdom,1,1
China--Singapore#amr_hai,China--Singapore,amr_hai,1,China,China,0.331977,0.597918,13,China,Singapore,1,1
China--Singapore#amr_hai,China--Singapore,amr_hai,2,Singapore,Singapore,0.429978,0.539306,13,China,Singapore,1,1
Singapore--Switzerland#tb,Singapore--Switzerland,tb,1,Singapore,Singapore,0.429978,0.539306,13,Singapore,Switzerland,1,1
Singapore--Switzerland#tb,Singapore--Switzerland,tb,2,Switzerland,Switzerland,0.407049,0.531378,13,Singapore,Switzerland,1,1
Australia--Singapore#vector_borne,Australia--Singapore,vector_borne,1,Australia,Australia,0.390756,0.648197,12,Australia,Singapore,1,1
