edge_id,pair_id,domain,path_order,node_id,label,x,y,weight,source,target,is_cross_border,involves_singapore
Nanyang Technological University--National University of Singapore#vector_borne,Nanyang Technological University--National University of Singapore,vector_borne,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,16,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#vector_borne,Nanyang Technological University--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,16,Nanyang Technological University,National University of Singapore,0,1
Harvard University--London School of Hygiene & Tropical Medicine#tb,Harvard University--London School of Hygiene & Tropical Medicine,tb,1,Harvard University,Harvard University,0.690017,0.63864,9,Harvard University,London School of Hygiene & Tropical Medicine,1,0
Harvard University--London School of Hygiene & Tropical Medicine#tb,Harvard University--London School of Hygiene & Tropical Medicine,tb,2,London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,0.690267,0.57095,9,Harvard University,London School of Hygiene & Tropical Medicine,1,0
National University Hospital--National University of Singapore#tb,National University Hospital--National University of Singapore,tb,1,National University Hospital,National University Hospital,0.51926,0.342069,9,National University Hospital,National University of Singapore,0,1
National University Hospital--National University of Singapore#tb,National University Hospital--National University of Singapore,tb,2,National University of Singapore,National University of Singapore,0.59751,0.507684,9,National University Hospital,National University of Singapore,0,1
Mahidol University--National University of Singapore#amr_hai,Mahidol University--National University of Singapore,amr_hai,1,Mahidol University,Mahidol University,0.601502,0.392831,7,Mahidol University,National University of Singapore,1,1
Mahidol University--National University of Singapore#amr_hai,Mahidol University--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,7,Mahidol University,National University of Singapore,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#sti,London School of Hygiene & Tropical Medicine--National University of Singapore,sti,1,London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,0.690267,0.57095,7,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#sti,London School of Hygiene & Tropical Medicine--National University of Singapore,sti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,7,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
National Centre for Infectious Diseases--National University of Singapore#amr_hai,National Centre for Infectious Diseases--National University of Singapore,amr_hai,1,National Centre for Infectious Diseases,National Centre for Infectious Diseases,0.63178,0.485666,7,National Centre for Infectious Diseases,National University of Singapore,0,1
National Centre for Infectious Diseases--National University of Singapore#amr_hai,National Centre for Infectious Diseases--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,7,National Centre for Infectious Diseases,National University of Singapore,0,1
National University of Singapore--Tan Tock Seng Hospital#amr_hai,National University of Singapore--Tan Tock Seng Hospital,amr_hai,1,National University of Singapore,National University of Singapore,0.59751,0.507684,7,National University of Singapore,Tan Tock Seng Hospital,0,1
National University of Singapore--Tan Tock Seng Hospital#amr_hai,National University of Singapore--Tan Tock Seng Hospital,amr_hai,2,Tan Tock Seng Hospital,Tan Tock Seng Hospital,0.54699,0.379399,7,National University of Singapore,Tan Tock Seng Hospital,0,1
Nanyang Technological University--National University of Singapore#amr_hai,Nanyang Technological University--National University of Singapore,amr_hai,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,7,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#amr_hai,Nanyang Technological University--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,7,Nanyang Technological University,National University of Singapore,0,1
Environmental Health Institute--Nanyang Technological University#vector_borne,Environmental Health Institute--Nanyang Technological University,vector_borne,1,Environmental Health Institute,Environmental Health Institute,0.603339,0.790288,7,Environmental Health Institute,Nanyang Technological University,0,1
Environmental Health Institute--Nanyang Technological University#vector_borne,Environmental Health Institute--Nanyang Technological University,vector_borne,2,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,7,Environmental Health Institute,Nanyang Technological University,0,1
Environmental Health Institute--National University of Singapore#vector_borne,Environmental Health Institute--National University of Singapore,vector_borne,1,Environmental Health Institute,Environmental Health Institute,0.603339,0.790288,7,Environmental Health Institute,National University of Singapore,0,1
Environmental Health Institute--National University of Singapore#vector_borne,Environmental Health Institute--National University of Singapore,vector_borne,2,National University of Singapore,National University of Singapore,0.59751,0.507684,7,Environmental Health Institute,National University of Singapore,0,1
National University Hospital--National University of Singapore#rti,National University Hospital--National University of Singapore,rti,1,National University Hospital,National University Hospital,0.51926,0.342069,6,National University Hospital,National University of Singapore,0,1
National University Hospital--National University of Singapore#rti,National University Hospital--National University of Singapore,rti,2,National University of Singapore,National University of Singapore,0.59751,0.507684,6,National University Hospital,National University of Singapore,0,1
National University of Singapore--University of Oxford#amr_hai,National University of Singapore--University of Oxford,amr_hai,1,National University of Singapore,National University of Singapore,0.59751,0.507684,6,National University of Singapore,University of Oxford,1,1
National University of Singapore--University of Oxford#amr_hai,National University of Singapore--University of Oxford,amr_hai,2,University of Oxford,University of Oxford,0.658401,0.434596,6,National University of Singapore,University of Oxford,1,1
National University Hospital--National University of Singapore#amr_hai,National University Hospital--National University of Singapore,amr_hai,1,National University Hospital,National University Hospital,0.51926,0.342069,6,National University Hospital,National University of Singapore,0,1
National University Hospital--National University of Singapore#amr_hai,National University Hospital--National University of Singapore,amr_hai,2,National University of Singapore,National University of Singapore,0.59751,0.507684,6,National University Hospital,National University of Singapore,0,1
London School of Hygiene & Tropical Medicine--National University of Singapore#tb,London School of Hygiene & Tropical Medicine--National University of Singapore,tb,1,London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,0.690267,0.57095,6,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
London School of Hygiene & Tropical Medicine--National University of Singapore#tb,London School of Hygiene & Tropical Medicine--National University of Singapore,tb,2,National University of Singapore,National University of Singapore,0.59751,0.507684,6,London School of Hygiene & Tropical Medicine,National University of Singapore,1,1
Nanyang Technological University--National University of Singapore#tb,Nanyang Technological University--National University of Singapore,tb,1,Nanyang Technological University,Nanyang Technological University,0.664988,0.515565,5,Nanyang Technological University,National University of Singapore,0,1
Nanyang Technological University--National University of Singapore#tb,Nanyang Technological University--National University of Singapore,tb,2,National University of Singapore,National University of Singapore,0.59751,0.507684,5,Nanyang Technological University,National University of Singapore,0,1
