uid,author_key,author_name,position,affiliation_raw,institution,institution_short,sector,country,iso3,region,resolved
doi:10.1093/jambio/lxag031,zwe-y,"Zwe, Ye Htut",1,"Department of Food Science and Technology, National University of Singapore, 2 Science Drive 2, Faculty of Science, 117543, Singapore",National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1
doi:10.1093/jambio/lxag031,zwe-y,"Zwe, Ye Htut",1,"National Centre for Food Science, Singapore Food Agency, 7 International Business Park, 609919, Singapore",Singapore Food Agency,SFA,government,Singapore,SGP,Southeast Asia,1
doi:10.1093/jambio/lxag031,yuk-h,"Yuk, Hyun-Gyun",2,"Department of Food Science and Biotechnology, Chung-Ang University, Anseong, Gyeonggi 17546, Republic of Korea",,,,Republic of Korea,KOR,East Asia,0
doi:10.1093/jambio/lxag031,yuk-h,"Yuk, Hyun-Gyun",2,"GreenTech-based Food Safety Research Group, BK21 Four, Chung-Ang University, Anseong, Gyeonggi 17546, Republic of Korea",,,,Republic of Korea,KOR,East Asia,0
doi:10.1128/spectrum.00627-26,barcelli-v,"Barcelli, Valeria",1,"Infectious Diseases Translational Research Programme, Department of Microbiology and Immunology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore",National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,barcelli-v,"Barcelli, Valeria",1,"Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, Singapore",Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,shin-b,"Shin, Bora",2,"Infectious Diseases Translational Research Programme, Department of Microbiology and Immunology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore",National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,choo-b,"Choo, Barry Boon Liang",3,"Infectious Diseases Translational Research Programme, Department of Microbiology and Immunology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore",National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,dorett-s,"Dorett, Sarah Leela",4,"Infectious Diseases Translational Research Programme, Department of Microbiology and Immunology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore",National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,bifani-p,"Bifani, Pablo",5,"Lee Kong Chian School of Medicine, Nanyang Technological University, Singapore, Singapore",Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1
doi:10.1128/spectrum.00627-26,bifani-p,"Bifani, Pablo",5,"A*STAR Infectious Diseases Labs, Agency for Science, Technology and Research, Singapore, Singapore",A*STAR Infectious Diseases Labs,ID Labs,research_institute,Singapore,SGP,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,blacksell-s,"Blacksell, Stuart D",1,"Mahidol Oxford Tropical Medicine Research Unit (MORU), Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,blacksell-s,"Blacksell, Stuart D",1,"Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom",University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1
doi:10.1371/journal.pntd.0014584,blacksell-s,"Blacksell, Stuart D",1,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,ward-m,"Ward, Michael P",2,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,young-j,"Young, James R",3,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,bush-r,"Bush, Russell D",4,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,windsor-p,"Windsor, Peter A",5,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,khounsy-s,"Khounsy, Syseng",6,"Mahidol Oxford Tropical Medicine Research Unit (MORU), Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,khounsy-s,"Khounsy, Syseng",6,"National Animal Health Laboratory, Vientiane, Lao People's Democratic Republic",,,,,,,0
doi:10.1371/journal.pntd.0014584,phommachanh-p,"Phommachanh, Phouvong",7,"National Animal Health Laboratory, Vientiane, Lao People's Democratic Republic",,,,,,,0
doi:10.1371/journal.pntd.0014584,theppangna-w,"Theppangna, Watthana",8,"National Animal Health Laboratory, Vientiane, Lao People's Democratic Republic",,,,,,,0
doi:10.1371/journal.pntd.0014584,siengsananlamont-j,"Siengsanan-Lamont, Jarunee",9,"Mahidol Oxford Tropical Medicine Research Unit (MORU), Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,burns-r,"Burns, Rebekah",10,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Camperdown, NSW, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,turner-p,"Turner, Paul",11,"Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom",University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1
doi:10.1371/journal.pntd.0014584,turner-p,"Turner, Paul",11,"Cambodia-Oxford Medical Research Unit, Angkor Hospital for Children, Siem Reap, Cambodia",,,,Cambodia,KHM,Southeast Asia,0
doi:10.1371/journal.pntd.0014584,gilbert-j,"Gilbert, Jeffrey",12,"World Health Organization, Geneva, Switzerland",World Health Organization,WHO,government,Switzerland,CHE,Europe,1
doi:10.1371/journal.pntd.0014584,kong-l,"Kong, Lida",13,"Mahidol Oxford Tropical Medicine Research Unit (MORU), Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,tum-s,"Tum, Sothyra",14,"National Animal Health and Production Research Institute, Phnom Penh, Cambodia",,,,Cambodia,KHM,Southeast Asia,0
doi:10.1371/journal.pntd.0014584,karlsson-e,"Karlsson, Erik A",15,"Virology Unit, Institut Pasteur du Cambodge, Phnom Penh, Cambodia",,,,Cambodia,KHM,Southeast Asia,0
doi:10.1371/journal.pntd.0014584,conlan-j,"Conlan, James V",16,"Food Standards Australia New Zealand, Canberra, Australian Capital Territory, Australia",,,,Australia,AUS,Oceania,0
doi:10.1371/journal.pntd.0014584,hughes-t,"Hughes, Tom",17,"Conservation Medicine, Sungai Buloh, Selangor, Malaysia",,,,Malaysia,MYS,Southeast Asia,0
doi:10.1371/journal.pntd.0014584,kolenchery-j,"Kolenchery, Jaison B",18,"Mahidol Oxford Tropical Medicine Research Unit (MORU), Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand",Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1
doi:10.1371/journal.pntd.0014584,kolenchery-j,"Kolenchery, Jaison B",18,"Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom",University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1
doi:10.1371/journal.pntd.0014584,roberts-t,"Roberts, Tamalee",19,"Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom",University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1
