uid,author_key,author_name,position,is_first,is_last,institution,country,sector,n_affiliations,year,primary_domain
doi:10.1093/jambio/lxag031,zwe-y,"Zwe, Ye Htut",1,1,0,National University of Singapore,Singapore,government,2,2026,amr_hai
doi:10.1093/jambio/lxag031,yuk-h,"Yuk, Hyun-Gyun",2,0,1,,Republic of Korea,,2,2026,amr_hai
doi:10.1128/spectrum.00627-26,barcelli-v,"Barcelli, Valeria",1,1,0,Nanyang Technological University,Singapore,university,2,2026,tb
doi:10.1128/spectrum.00627-26,shin-b,"Shin, Bora",2,0,0,National University of Singapore,Singapore,university,1,2026,tb
doi:10.1128/spectrum.00627-26,choo-b,"Choo, Barry Boon Liang",3,0,0,National University of Singapore,Singapore,university,1,2026,tb
doi:10.1128/spectrum.00627-26,dorett-s,"Dorett, Sarah Leela",4,0,0,National University of Singapore,Singapore,university,1,2026,tb
doi:10.1128/spectrum.00627-26,bifani-p,"Bifani, Pablo",5,0,1,A*STAR Infectious Diseases Labs,Singapore,research_institute,2,2026,tb
doi:10.1371/journal.pntd.0014584,blacksell-s,"Blacksell, Stuart D",1,1,0,Mahidol University,Australia,university,3,2026,vector_borne
doi:10.1371/journal.pntd.0014584,ward-m,"Ward, Michael P",2,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,young-j,"Young, James R",3,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,bush-r,"Bush, Russell D",4,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,windsor-p,"Windsor, Peter A",5,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,khounsy-s,"Khounsy, Syseng",6,0,0,Mahidol University,Thailand,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,phommachanh-p,"Phommachanh, Phouvong",7,0,0,,,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,theppangna-w,"Theppangna, Watthana",8,0,0,,,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,siengsananlamont-j,"Siengsanan-Lamont, Jarunee",9,0,0,Mahidol University,Thailand,university,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,burns-r,"Burns, Rebekah",10,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,turner-p,"Turner, Paul",11,0,0,University of Oxford,Cambodia,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,gilbert-j,"Gilbert, Jeffrey",12,0,0,World Health Organization,Switzerland,government,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,kong-l,"Kong, Lida",13,0,0,Mahidol University,Thailand,university,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,tum-s,"Tum, Sothyra",14,0,0,,Cambodia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,karlsson-e,"Karlsson, Erik A",15,0,0,,Cambodia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,conlan-j,"Conlan, James V",16,0,0,,Australia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,hughes-t,"Hughes, Tom",17,0,0,,Malaysia,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,kolenchery-j,"Kolenchery, Jaison B",18,0,0,Mahidol University,Thailand,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,roberts-t,"Roberts, Tamalee",19,0,0,University of Oxford,United Kingdom,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,robinson-m,"Robinson, Matthew T",20,0,0,University of Oxford,United Kingdom,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,vongsouvath-m,"Vongsouvath, Manivanh",21,0,0,,,,1,2026,vector_borne
doi:10.1371/journal.pntd.0014584,newton-p,"Newton, Paul N",22,0,0,Mahidol University,Thailand,university,3,2026,vector_borne
doi:10.1371/journal.pntd.0014584,mayxay-m,"Mayxay, Mayfong",23,0,0,National University of Singapore,Singapore,university,5,2026,vector_borne
doi:10.1371/journal.pntd.0014584,ashley-e,"Ashley, Elizabeth A",24,0,0,University of Oxford,United Kingdom,university,2,2026,vector_borne
doi:10.1371/journal.pntd.0014584,day-n,"Day, Nicholas P J",25,0,1,Mahidol University,Thailand,university,2,2026,vector_borne
doi:10.3390/ijms27031504,ponniah-c,"Ponniah, Caleb",1,1,0,Nanyang Technological University,Singapore,university,1,2026,vector_borne
doi:10.3390/ijms27031504,surya-w,"Surya, Wahyu",2,0,0,Nanyang Technological University,Singapore,university,1,2026,vector_borne
doi:10.3390/ijms27031504,torres-j,"Torres, Jaume",3,0,1,Nanyang Technological University,Singapore,university,1,2026,vector_borne
doi:10.1186/s12889-026-26979-0,denholm-j,"Denholm, Justin T",1,1,0,University of Melbourne,Australia,university,2,2026,tb
doi:10.1186/s12889-026-26979-0,devries-g,"de Vries, Gerard",2,0,0,,Netherlands,,1,2026,tb
doi:10.1186/s12889-026-26979-0,anthony-r,"Anthony, Richard",3,0,0,,Netherlands,,1,2026,tb
doi:10.1186/s12889-026-26979-0,robinson-e,"Robinson, Esther",4,0,0,,United Kingdom,,1,2026,tb
doi:10.1186/s12889-026-26979-0,backx-m,"Backx, Matthijs",5,0,0,,United Kingdom,,1,2026,tb
doi:10.1186/s12889-026-26979-0,laurenson-i,"Laurenson, Ian F",6,0,0,,United Kingdom,,1,2026,tb
doi:10.1186/s12889-026-26979-0,seagar-a,"Seagar, Amie-Louise",7,0,0,,United Kingdom,,1,2026,tb
doi:10.1186/s12889-026-26979-0,trieu-l,"Trieu, Lisa",8,0,0,,United States,,1,2026,tb
doi:10.1186/s12889-026-26979-0,modestil-h,"Modestil, Herns",9,0,0,,United States,,1,2026,tb
doi:10.1186/s12889-026-26979-0,meissner-j,"Meissner, Jeanne Sullivan",10,0,0,,United States,,1,2026,tb
doi:10.1186/s12889-026-26979-0,ng-d,"Ng, Deborah Hee Ling",11,0,0,National Centre for Infectious Diseases,Singapore,hospital,1,2026,tb
doi:10.1186/s12889-026-26979-0,tay-j,"Tay, Jun Yang",12,0,0,National Centre for Infectious Diseases,Singapore,hospital,1,2026,tb
doi:10.1186/s12889-026-26979-0,marais-b,"Marais, Ben J",13,0,0,,Australia,,1,2026,tb
doi:10.1186/s12889-026-26979-0,sintchenko-v,"Sintchenko, Vitali",14,0,0,,Australia,,1,2026,tb
doi:10.1186/s12889-026-26979-0,lee-r,"Lee, Robyn",15,0,0,,Canada,,1,2026,tb
doi:10.1186/s12889-026-26979-0,donnan-e,"Donnan, Ellen J",16,0,1,,Australia,,2,2026,tb
doi:10.1016/j.avsg.2025.12.042,eze-a,"Eze, Anthony N",1,1,0,,,,1,2026,amr_hai
doi:10.1016/j.avsg.2025.12.042,yu-j,"Yu, Junette",2,0,0,Duke-NUS Medical School,Singapore,university,1,2026,amr_hai
doi:10.1016/j.avsg.2025.12.042,cui-c,"Cui, Christina L",3,0,0,,,,1,2026,amr_hai
doi:10.1016/j.avsg.2025.12.042,kim-y,"Kim, Young",4,0,1,,,,1,2026,amr_hai
doi:10.1001/jamanetworkopen.2026.28389,wee-l,"Wee, Liang En",1,1,0,Communicable Diseases Agency,Singapore,government,5,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,goh-n,"Goh, Nicole Shu-En",2,0,0,National Centre for Infectious Diseases,Singapore,hospital,1,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,ho-r,"Ho, Reen Wan-Li",3,0,0,National Centre for Infectious Diseases,Singapore,hospital,1,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,lim-j,"Lim, Jue Tao",4,0,0,Nanyang Technological University,Singapore,university,1,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,ngiam-j,"Ngiam, Jinghao Nicholas",5,0,0,Communicable Diseases Agency,Singapore,government,2,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,lim-s,"Lim, Soon Kok",6,0,0,Communicable Diseases Agency,Singapore,government,1,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,chiew-c,"Chiew, Calvin",7,0,0,Communicable Diseases Agency,Singapore,government,2,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,li-r,"Li, Russell Jingxian",8,0,0,National Centre for Infectious Diseases,Singapore,hospital,1,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,li-j,"Li, Jiahui",9,0,0,KK Women's and Children's Hospital,Singapore,hospital,4,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,yung-c,"Yung, Chee-Fu",10,0,0,KK Women's and Children's Hospital,Singapore,hospital,3,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,chong-c,"Chong, Chia Yin",11,0,0,KK Women's and Children's Hospital,Singapore,hospital,4,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,choolani-m,"Choolani, Mahesh",12,0,0,National University Health System,Singapore,hospital,2,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,lee-v,"Lee, Vernon",13,0,0,Communicable Diseases Agency,Singapore,government,3,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,lye-d,"Lye, David",14,0,0,Communicable Diseases Agency,Singapore,government,5,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,tan-k,"Tan, Kelvin Bryan",15,0,1,Nanyang Technological University,Singapore,university,4,2026,rti
doi:10.1002/anie.202517460,vu-q,"Vu, Quang Huy Nhat",1,1,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,tan-c,"Tan, Chongyun",2,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,lambu-m,"Lambu, Mallikharjuna Rao",3,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,wang-z,"Wang, Zheng",4,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,tan-s,"Tan, Shiow Han",5,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,koh-c,"Koh, Chong Hui",6,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,tonanon-p,"Tonanon, Panyawut",7,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,wei-g,"Wei, Guangmin",8,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,webster-r,"Webster, Richard D",9,0,0,Nanyang Technological University,Singapore,university,1,2026,amr_hai
doi:10.1002/anie.202517460,chanpark-m,"Chan-Park, Mary B",10,0,1,Nanyang Technological University,Singapore,university,2,2026,amr_hai
doi:10.1136/bmjopen-2025-103987,nguyen-h,"Nguyen, Ha Thu Thi",1,1,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,nguyen-h,"Nguyen, Hien Thu",2,0,0,,Viet Nam,,2,2026,rti
doi:10.1136/bmjopen-2025-103987,phan-t,"Phan, Thuong Huyen Thi",3,0,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,duong-g,"Duong, Giang Tra Thi",4,0,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,do-l,"Do, Linh Anh",5,0,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,vu-h,"Vu, Ha Ngoc",6,0,0,,Viet Nam,,2,2026,rti
doi:10.1136/bmjopen-2025-103987,nguyen-t,"Nguyen, Tham Thi",7,0,0,,France,,2,2026,rti
doi:10.1136/bmjopen-2025-103987,fernandes-s,"Fernandes, Sara",8,0,0,,France,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,boyer-l,"Boyer, Laurent",9,0,0,,France,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,auquier-p,"Auquier, Pascal",10,0,0,,France,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,nguyen-c,"Nguyen, Cuong Tat",11,0,0,,Viet Nam,,2,2026,rti
doi:10.1136/bmjopen-2025-103987,ha-d,"Ha, Duc Anh",12,0,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,do-h,"Do, Huyen",13,0,0,,Republic of Korea,,2,2026,rti
doi:10.1136/bmjopen-2025-103987,vu-g,"Vu, Giang Thu",14,0,0,,Viet Nam,,1,2026,rti
doi:10.1136/bmjopen-2025-103987,ho-r,"Ho, Roger C M",15,0,0,National University of Singapore,China,university,2,2026,rti
doi:10.1136/bmjopen-2025-103987,ho-c,"Ho, Cyrus S H",16,0,1,National University of Singapore,Singapore,university,1,2026,rti
doi:10.1038/s41598-026-64190-8,pongracz-t,"Pongrácz, Tamás",1,1,0,,Sweden,,1,2026,rti
doi:10.1038/s41598-026-64190-8,marking-u,"Marking, Ulrika",2,0,0,,Sweden,,1,2026,rti
doi:10.1038/s41598-026-64190-8,bladh-o,"Bladh, Oscar",3,0,0,,Sweden,,1,2026,rti
doi:10.1038/s41598-026-64190-8,aguilera-k,"Aguilera, Katherina",4,0,0,,Sweden,,1,2026,rti
doi:10.1038/s41598-026-64190-8,berkell-m,"Berkell, Matilda",5,0,0,,Sweden,,2,2026,rti
doi:10.1038/s41598-026-64190-8,havervall-s,"Havervall, Sebastian",6,0,0,,Sweden,,1,2026,rti
