uid,domain_id,domain_label,is_primary,domain_score,year,singapore_led
doi:10.1093/jambio/lxag031,amr_hai,AMR and healthcare-associated infections,1,22,2026,1
doi:10.1128/spectrum.00627-26,tb,Tuberculosis,1,50,2026,1
doi:10.1128/spectrum.00627-26,amr_hai,AMR and healthcare-associated infections,0,12,2026,1
doi:10.1371/journal.pntd.0014584,vector_borne,Vector-borne diseases,1,6,2026,0
doi:10.3390/ijms27031504,vector_borne,Vector-borne diseases,1,16,2026,1
doi:10.1186/s12889-026-26979-0,tb,Tuberculosis,1,26,2026,0
doi:10.1016/j.avsg.2025.12.042,amr_hai,AMR and healthcare-associated infections,1,8,2026,0
doi:10.1001/jamanetworkopen.2026.28389,rti,Respiratory-tract infections,1,24,2026,1
doi:10.1002/anie.202517460,amr_hai,AMR and healthcare-associated infections,1,18,2026,1
doi:10.1136/bmjopen-2025-103987,rti,Respiratory-tract infections,1,40,2026,1
doi:10.1038/s41598-026-64190-8,rti,Respiratory-tract infections,1,58,2026,0
doi:10.1186/s12348-026-00586-x,tb,Tuberculosis,1,23,2026,1
doi:10.1186/s12942-026-00467-5,tb,Tuberculosis,1,26,2026,0
doi:10.5588/ijtldopen.26.0076,tb,Tuberculosis,1,13,2026,1
doi:10.5588/ijtldopen.26.0076,sti,Sexually-transmitted infections,0,9,2026,1
doi:10.1073/pnas.2606669123,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.3390/biom16070970,amr_hai,AMR and healthcare-associated infections,1,25,2026,0
doi:10.3390/pathogens15040378,vector_borne,Vector-borne diseases,1,6,2026,0
doi:10.1080/07853890.2026.2714685,tb,Tuberculosis,1,49,2026,1
doi:10.64898/2026.03.19.26348865,sti,Sexually-transmitted infections,1,19,2026,0
doi:10.1016/j.celrep.2026.117286,tb,Tuberculosis,1,36,2026,0
doi:10.1016/j.ejogrb.2026.115359,sti,Sexually-transmitted infections,1,9,2026,1
doi:10.1128/aac.00748-26,tb,Tuberculosis,1,64,2026,0
doi:10.1128/aac.00748-26,sti,Sexually-transmitted infections,0,15,2026,0
doi:10.1186/s12929-026-01277-4,rti,Respiratory-tract infections,1,28,2026,1
doi:10.1371/journal.pntd.0014395,vector_borne,Vector-borne diseases,1,52,2026,1
doi:10.1038/s41467-026-74934-9,amr_hai,AMR and healthcare-associated infections,1,19,2026,0
doi:10.1128/mbio.01075-26,rti,Respiratory-tract infections,1,15,2026,1
doi:10.1080/10810730.2026.2687792,vector_borne,Vector-borne diseases,1,6,2026,1
doi:10.1111/scs.70292,rti,Respiratory-tract infections,1,18,2026,1
doi:10.3390/vaccines14060469,rti,Respiratory-tract infections,1,12,2026,1
doi:10.1177/08903344261475018,rti,Respiratory-tract infections,1,6,2026,1
doi:10.3390/ijms27167316,rti,Respiratory-tract infections,1,40,2026,1
doi:10.1093/ofid/ofag421,vector_borne,Vector-borne diseases,1,6,2026,0
doi:10.1371/journal.pgph.0007105,rti,Respiratory-tract infections,1,6,2026,1
doi:10.1016/j.jep.2026.122318,other_id,Other infectious disease,1,,2026,0
doi:10.2196/88849,rti,Respiratory-tract infections,1,12,2026,1
doi:10.1017/ice.2026.10526,rti,Respiratory-tract infections,1,6,2026,1
doi:10.1093/epirev/mxag011,other_id,Other infectious disease,1,,2026,1
doi:10.1080/21645515.2026.2661118,rti,Respiratory-tract infections,1,12,2026,0
doi:10.1088/1361-6528/ae8602,amr_hai,AMR and healthcare-associated infections,1,10,2026,1
doi:10.1186/s12889-026-26538-7,sti,Sexually-transmitted infections,1,28,2026,0
doi:10.1016/j.idh.2026.100423,amr_hai,AMR and healthcare-associated infections,1,17,2026,0
doi:10.1016/s0140-6736(26)00410-1,sti,Sexually-transmitted infections,1,15,2026,1
doi:10.1021/acsinfecdis.6c00114,vector_borne,Vector-borne diseases,1,23,2026,0
doi:10.3390/pathogens15030278,amr_hai,AMR and healthcare-associated infections,1,35,2026,1
doi:10.2196/87909,rti,Respiratory-tract infections,1,18,2026,1
doi:10.1080/09540121.2026.2632324,sti,Sexually-transmitted infections,1,18,2026,1
doi:10.1016/s1473-3099(26)00357-9,amr_hai,AMR and healthcare-associated infections,1,16,2026,1
doi:10.1016/s1473-3099(26)00357-9,rti,Respiratory-tract infections,0,6,2026,1
doi:10.1073/pnas.2532225123,other_id,Other infectious disease,1,,2026,1
doi:10.1016/j.bcp.2026.118104,tb,Tuberculosis,1,15,2026,1
doi:10.1038/s44360-026-00080-7,sti,Sexually-transmitted infections,1,7,2026,1
doi:10.1111/camh.70112,rti,Respiratory-tract infections,1,25,2026,1
doi:10.1016/j.jhin.2026.03.009,amr_hai,AMR and healthcare-associated infections,1,27,2026,1
doi:10.1080/17441692.2026.2700817,rti,Respiratory-tract infections,1,30,2026,0
doi:10.1016/j.isci.2026.116736,rti,Respiratory-tract infections,1,15,2026,1
doi:10.1093/ofid/ofag317,rti,Respiratory-tract infections,1,19,2026,1
doi:10.1128/aac.00388-25,amr_hai,AMR and healthcare-associated infections,1,20,2026,0
doi:10.3389/fmicb.2026.1866307,vector_borne,Vector-borne diseases,1,12,2026,0
doi:10.1016/j.jhin.2026.08.021,amr_hai,AMR and healthcare-associated infections,1,18,2026,0
doi:10.1136/bcr-2025-271896,vector_borne,Vector-borne diseases,1,12,2026,1
doi:10.1038/s41467-026-75746-7,other_id,Other infectious disease,1,,2026,0
doi:10.1038/s41467-026-74190-x,rti,Respiratory-tract infections,1,12,2026,0
doi:10.1016/j.ijid.2026.108533,tb,Tuberculosis,1,31,2026,1
