uid,institution,institution_short,sector,country,iso3,region,n_authors_here,year,primary_domain,is_singapore
doi:10.1093/jambio/lxag031,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1093/jambio/lxag031,Singapore Food Agency,SFA,government,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1128/spectrum.00627-26,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,4,2026,tb,1
doi:10.1128/spectrum.00627-26,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,2,2026,tb,1
doi:10.1128/spectrum.00627-26,A*STAR Infectious Diseases Labs,ID Labs,research_institute,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1371/journal.pntd.0014584,Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,7,2026,vector_borne,0
doi:10.1371/journal.pntd.0014584,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,9,2026,vector_borne,0
doi:10.1371/journal.pntd.0014584,World Health Organization,WHO,government,Switzerland,CHE,Europe,1,2026,vector_borne,0
doi:10.1371/journal.pntd.0014584,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.3390/ijms27031504,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,3,2026,vector_borne,1
doi:10.1186/s12889-026-26979-0,University of Melbourne,Melbourne,university,Australia,AUS,Oceania,1,2026,tb,0
doi:10.1186/s12889-026-26979-0,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,2,2026,tb,1
doi:10.1016/j.avsg.2025.12.042,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1001/jamanetworkopen.2026.28389,Communicable Diseases Agency,CDA,government,Singapore,SGP,Southeast Asia,6,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,11,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,7,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,7,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,KK Women's and Children's Hospital,KKH,hospital,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1001/jamanetworkopen.2026.28389,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1002/anie.202517460,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,11,2026,amr_hai,1
doi:10.1136/bmjopen-2025-103987,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,rti,1
doi:10.1038/s41598-026-64190-8,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1038/s41598-026-64190-8,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1186/s12348-026-00586-x,Khoo Teck Puat Hospital,KTPH,hospital,Singapore,SGP,Southeast Asia,3,2026,tb,1
doi:10.1186/s12348-026-00586-x,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1186/s12942-026-00467-5,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1186/s12942-026-00467-5,US Centers for Disease Control and Prevention,US CDC,government,United States,USA,North America,2,2026,tb,0
doi:10.5588/ijtldopen.26.0076,Harvard University,Harvard,university,United States,USA,North America,4,2026,tb,0
doi:10.5588/ijtldopen.26.0076,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,1,2026,tb,0
doi:10.1073/pnas.2606669123,University of Melbourne,Melbourne,university,Australia,AUS,Oceania,1,2026,vector_borne,0
doi:10.3390/biom16070970,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.3390/biom16070970,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1080/07853890.2026.2714685,Johns Hopkins University,JHU,university,United States,USA,North America,1,2026,tb,0
doi:10.1080/07853890.2026.2714685,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.64898/2026.03.19.26348865,Universitas Indonesia,UI,university,Indonesia,IDN,Southeast Asia,1,2026,sti,0
doi:10.64898/2026.03.19.26348865,University of Malaya,UM,university,Malaysia,MYS,Southeast Asia,1,2026,sti,0
doi:10.64898/2026.03.19.26348865,Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,1,2026,sti,0
doi:10.64898/2026.03.19.26348865,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1016/j.celrep.2026.117286,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,3,2026,tb,1
doi:10.1016/j.celrep.2026.117286,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1016/j.ejogrb.2026.115359,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,3,2026,sti,1
doi:10.1128/aac.00748-26,"Agency for Science, Technology and Research",A*STAR,research_institute,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1186/s12929-026-01277-4,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,8,2026,rti,1
doi:10.1371/journal.pntd.0014395,Imperial College London,Imperial,university,United Kingdom,GBR,Europe,2,2026,vector_borne,0
doi:10.1371/journal.pntd.0014395,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,2,2026,vector_borne,0
doi:10.1371/journal.pntd.0014395,World Health Organization,WHO,government,Switzerland,CHE,Europe,1,2026,vector_borne,0
doi:10.1371/journal.pntd.0014395,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1038/s41467-026-74934-9,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,7,2026,amr_hai,0
doi:10.1038/s41467-026-74934-9,Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,4,2026,amr_hai,0
doi:10.1038/s41467-026-74934-9,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,amr_hai,1
doi:10.1038/s41467-026-74934-9,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1038/s41467-026-74934-9,Oxford University Clinical Research Unit,OUCRU,research_institute,Viet Nam,VNM,Southeast Asia,1,2026,amr_hai,0
doi:10.1128/mbio.01075-26,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1128/mbio.01075-26,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,2,2026,rti,1
doi:10.1080/10810730.2026.2687792,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1111/scs.70292,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.3390/vaccines14060469,SingHealth,SingHealth,hospital,Singapore,SGP,Southeast Asia,8,2026,rti,1
doi:10.1177/08903344261475018,KK Women's and Children's Hospital,KKH,hospital,Singapore,SGP,Southeast Asia,16,2026,rti,1
doi:10.3390/ijms27167316,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,4,2026,rti,1
doi:10.1093/ofid/ofag421,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,5,2026,vector_borne,0
doi:10.1093/ofid/ofag421,Oxford University Clinical Research Unit,OUCRU,research_institute,Viet Nam,VNM,Southeast Asia,5,2026,vector_borne,0
doi:10.1093/ofid/ofag421,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,2,2026,vector_borne,1
doi:10.1093/ofid/ofag421,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1371/journal.pgph.0007105,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,rti,1
doi:10.1371/journal.pgph.0007105,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,5,2026,rti,0
doi:10.1016/j.jep.2026.122318,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.2196/88849,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
