uid,domain_id,subdomain_id,subdomain_label,is_primary,vocabulary_rank,year
doi:10.1093/jambio/lxag031,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1093/jambio/lxag031,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1093/jambio/lxag031,amr_hai,Escherichia coli,Escherichia coli,0,8,2026
doi:10.1093/jambio/lxag031,amr_hai,beta-Lactamases,beta-Lactamases,0,10,2026
doi:10.1128/spectrum.00627-26,tb,Antitubercular Agents,Antitubercular Agents,1,1,2026
doi:10.1128/spectrum.00627-26,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,0,2,2026
doi:10.1128/spectrum.00627-26,tb,Rifampin,Rifampin,0,5,2026
doi:10.1128/spectrum.00627-26,tb,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,9,2026
doi:10.1371/journal.pntd.0014584,vector_borne,other,Other/unspecified,1,,2026
doi:10.3390/ijms27031504,vector_borne,Zika Virus,Zika Virus,1,5,2026
doi:10.3390/ijms27031504,vector_borne,Viral Nonstructural Proteins,Viral Nonstructural Proteins,0,10,2026
doi:10.1186/s12889-026-26979-0,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1,2,2026
doi:10.1186/s12889-026-26979-0,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1016/j.avsg.2025.12.042,amr_hai,Surgical Wound Infection,Surgical Wound Infection,1,7,2026
doi:10.1001/jamanetworkopen.2026.28389,rti,"Influenza, Human","Influenza, Human",1,4,2026
doi:10.1002/anie.202517460,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1002/anie.202517460,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1002/anie.202517460,amr_hai,Klebsiella pneumoniae,Klebsiella pneumoniae,0,4,2026
doi:10.1136/bmjopen-2025-103987,rti,COVID-19,COVID-19,1,1,2026
doi:10.1136/bmjopen-2025-103987,rti,SARS-CoV-2,SARS-CoV-2,0,2,2026
doi:10.1038/s41598-026-64190-8,rti,COVID-19,COVID-19,1,1,2026
doi:10.1038/s41598-026-64190-8,rti,SARS-CoV-2,SARS-CoV-2,0,2,2026
doi:10.1038/s41598-026-64190-8,rti,COVID-19 Vaccines,COVID-19 Vaccines,0,3,2026
doi:10.1038/s41598-026-64190-8,rti,"Antibodies, Neutralizing","Antibodies, Neutralizing",0,9,2026
doi:10.1038/s41598-026-64190-8,rti,"Antibodies, Viral","Antibodies, Viral",0,10,2026
doi:10.1186/s12348-026-00586-x,tb,other,Other/unspecified,1,,2026
doi:10.1186/s12942-026-00467-5,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1,2,2026
doi:10.1186/s12942-026-00467-5,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.5588/ijtldopen.26.0076,tb,other,Other/unspecified,1,,2026
doi:10.1073/pnas.2606669123,vector_borne,other,Other/unspecified,1,,2026
doi:10.3390/biom16070970,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.3390/biom16070970,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.3390/biom16070970,amr_hai,Methicillin-Resistant Staphylococcus aureus,Methicillin-Resistant Staphylococcus aureus,0,3,2026
doi:10.3390/pathogens15040378,vector_borne,"Genome, Viral","Genome, Viral",1,12,2026
doi:10.1080/07853890.2026.2714685,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1,2,2026
doi:10.1080/07853890.2026.2714685,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1080/07853890.2026.2714685,tb,"Tuberculosis, Pulmonary","Tuberculosis, Pulmonary",0,4,2026
doi:10.64898/2026.03.19.26348865,sti,other,Other/unspecified,1,,2026
doi:10.1016/j.celrep.2026.117286,tb,Antitubercular Agents,Antitubercular Agents,1,1,2026
doi:10.1016/j.celrep.2026.117286,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,0,2,2026
doi:10.1016/j.ejogrb.2026.115359,sti,other,Other/unspecified,1,,2026
doi:10.1128/aac.00748-26,tb,Antitubercular Agents,Antitubercular Agents,1,1,2026
doi:10.1128/aac.00748-26,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1128/aac.00748-26,tb,Rifampin,Rifampin,0,5,2026
doi:10.1186/s12929-026-01277-4,rti,SARS-CoV-2,SARS-CoV-2,1,2,2026
doi:10.1371/journal.pntd.0014395,vector_borne,Dengue,Dengue,1,1,2026
doi:10.1371/journal.pntd.0014395,vector_borne,Aedes,Aedes,0,2,2026
doi:10.1371/journal.pntd.0014395,vector_borne,Mosquito Vectors,Mosquito Vectors,0,3,2026
doi:10.1371/journal.pntd.0014395,vector_borne,Wolbachia,Wolbachia,0,6,2026
doi:10.1371/journal.pntd.0014395,vector_borne,Mosquito Control,Mosquito Control,0,7,2026
doi:10.1371/journal.pntd.0014395,vector_borne,"Pest Control, Biological","Pest Control, Biological",0,8,2026
doi:10.1038/s41467-026-74934-9,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1038/s41467-026-74934-9,amr_hai,Bacteria,Bacteria,0,11,2026
doi:10.1128/mbio.01075-26,rti,other,Other/unspecified,1,,2026
doi:10.1080/10810730.2026.2687792,vector_borne,other,Other/unspecified,1,,2026
doi:10.1111/scs.70292,rti,COVID-19,COVID-19,1,1,2026
doi:10.3390/vaccines14060469,rti,other,Other/unspecified,1,,2026
doi:10.1177/08903344261475018,rti,other,Other/unspecified,1,,2026
doi:10.3390/ijms27167316,rti,SARS-CoV-2,SARS-CoV-2,1,2,2026
doi:10.3390/ijms27167316,rti,Antiviral Agents,Antiviral Agents,0,5,2026
doi:10.3390/ijms27167316,rti,Coronavirus Infections,Coronavirus Infections,0,6,2026
doi:10.3390/ijms27167316,rti,Cytokines,Cytokines,0,7,2026
doi:10.3390/ijms27167316,rti,Virus Replication,Virus Replication,0,8,2026
doi:10.1093/ofid/ofag421,vector_borne,other,Other/unspecified,1,,2026
doi:10.1371/journal.pgph.0007105,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.jep.2026.122318,other_id,other,Other/unspecified,1,,2026
doi:10.2196/88849,rti,"Influenza, Human","Influenza, Human",1,4,2026
doi:10.1017/ice.2026.10526,rti,other,Other/unspecified,1,,2026
doi:10.1093/epirev/mxag011,other_id,other,Other/unspecified,1,,2026
doi:10.1080/21645515.2026.2661118,rti,other,Other/unspecified,1,,2026
doi:10.1088/1361-6528/ae8602,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1088/1361-6528/ae8602,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1088/1361-6528/ae8602,amr_hai,Escherichia coli,Escherichia coli,0,8,2026
doi:10.1186/s12889-026-26538-7,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1016/j.idh.2026.100423,amr_hai,Surgical Wound Infection,Surgical Wound Infection,1,7,2026
doi:10.1016/s0140-6736(26)00410-1,sti,Papillomavirus Infections,Papillomavirus Infections,1,3,2026
doi:10.1016/s0140-6736(26)00410-1,sti,Human Papillomavirus Viruses,Human Papillomavirus Viruses,0,5,2026
doi:10.1016/s0140-6736(26)00410-1,sti,Uterine Cervical Neoplasms,Uterine Cervical Neoplasms,0,6,2026
doi:10.1016/s0140-6736(26)00410-1,sti,Early Detection of Cancer,Early Detection of Cancer,0,10,2026
doi:10.1021/acsinfecdis.6c00114,vector_borne,other,Other/unspecified,1,,2026
doi:10.3390/pathogens15030278,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.2196/87909,rti,other,Other/unspecified,1,,2026
doi:10.1080/09540121.2026.2632324,sti,other,Other/unspecified,1,,2026
doi:10.1016/s1473-3099(26)00357-9,amr_hai,other,Other/unspecified,1,,2026
doi:10.1073/pnas.2532225123,other_id,other,Other/unspecified,1,,2026
doi:10.1016/j.bcp.2026.118104,tb,Rifampin,Rifampin,1,5,2026
doi:10.1038/s44360-026-00080-7,sti,other,Other/unspecified,1,,2026
doi:10.1111/camh.70112,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.jhin.2026.03.009,amr_hai,Methicillin-Resistant Staphylococcus aureus,Methicillin-Resistant Staphylococcus aureus,1,3,2026
doi:10.1016/j.jhin.2026.03.009,amr_hai,Bacteremia,Bacteremia,0,5,2026
doi:10.1016/j.jhin.2026.03.009,amr_hai,Staphylococcal Infections,Staphylococcal Infections,0,6,2026
doi:10.1080/17441692.2026.2700817,rti,COVID-19,COVID-19,1,1,2026
doi:10.1080/17441692.2026.2700817,rti,COVID-19 Vaccines,COVID-19 Vaccines,0,3,2026
doi:10.1016/j.isci.2026.116736,rti,other,Other/unspecified,1,,2026
doi:10.1093/ofid/ofag317,rti,other,Other/unspecified,1,,2026
doi:10.1128/aac.00388-25,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1128/aac.00388-25,amr_hai,Microbial Sensitivity Tests,Microbial Sensitivity Tests,0,2,2026
doi:10.1128/aac.00388-25,amr_hai,beta-Lactamases,beta-Lactamases,0,10,2026
doi:10.3389/fmicb.2026.1866307,vector_borne,other,Other/unspecified,1,,2026
doi:10.1016/j.jhin.2026.08.021,amr_hai,other,Other/unspecified,1,,2026
doi:10.1136/bcr-2025-271896,vector_borne,Dengue,Dengue,1,1,2026
doi:10.1038/s41467-026-75746-7,other_id,other,Other/unspecified,1,,2026
doi:10.1038/s41467-026-74190-x,rti,Cytokines,Cytokines,1,7,2026
doi:10.1016/j.ijid.2026.108533,tb,Mycobacterium tuberculosis,Mycobacterium tuberculosis,1,2,2026
doi:10.1016/j.ijid.2026.108533,tb,Tuberculosis,Tuberculosis,0,3,2026
doi:10.1183/13993003.00989-2026,tb,other,Other/unspecified,1,,2026
doi:10.1038/s41371-026-01194-x,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.transci.2026.104429,sti,other,Other/unspecified,1,,2026
doi:10.3390/antibiotics15050423,amr_hai,other,Other/unspecified,1,,2026
doi:10.1016/j.watres.2026.126336,amr_hai,Anti-Bacterial Agents,Anti-Bacterial Agents,1,1,2026
doi:10.1186/s12889-026-27217-3,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1186/s12889-026-27217-3,sti,Qualitative Research,Qualitative Research,0,7,2026
doi:10.1186/s12889-026-27217-3,sti,Anti-Retroviral Agents,Anti-Retroviral Agents,0,9,2026
doi:10.1186/s12889-026-27217-3,sti,Interviews as Topic,Interviews as Topic,0,12,2026
doi:10.1177/00494755261479116,vector_borne,other,Other/unspecified,1,,2026
doi:10.3389/fimmu.2026.1841974,rti,Cytokines,Cytokines,1,7,2026
doi:10.3389/fimmu.2026.1841974,rti,Virus Replication,Virus Replication,0,8,2026
doi:10.4269/ajtmh.26-0159,vector_borne,other,Other/unspecified,1,,2026
doi:10.1002/resp.70302,rti,other,Other/unspecified,1,,2026
doi:10.5527/wjn.v15.i2.118214,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.drugpo.2026.105306,sti,"Homosexuality, Male","Homosexuality, Male",1,4,2026
doi:10.1016/j.drugpo.2026.105306,sti,Qualitative Research,Qualitative Research,0,7,2026
doi:10.1007/s10461-026-05097-3,sti,other,Other/unspecified,1,,2026
doi:10.1183/13993003.00858-2026,tb,other,Other/unspecified,1,,2026
doi:10.1136/bmjph-2025-004042,sti,other,Other/unspecified,1,,2026
doi:10.25259/ijpc_285_2025,rti,other,Other/unspecified,1,,2026
doi:10.1016/j.vaccine.2026.128983,rti,COVID-19,COVID-19,1,1,2026
doi:10.1016/j.vaccine.2026.128983,rti,SARS-CoV-2,SARS-CoV-2,0,2,2026
doi:10.1016/j.vaccine.2026.128983,rti,COVID-19 Vaccines,COVID-19 Vaccines,0,3,2026
doi:10.1016/j.eclinm.2026.103871,vector_borne,other,Other/unspecified,1,,2026
doi:10.1097/qai.0000000000003874,sti,HIV Infections,HIV Infections,1,1,2026
doi:10.1016/j.jconrel.2026.115136,rti,COVID-19,COVID-19,1,1,2026
