uid,pmid,pmc,doi,url,title,journal,journal_abbrev,year,pub_date,language,article_types,n_authors,n_institutions,n_countries,primary_domain,primary_domain_label,domains,is_multi_domain,primary_subdomain,subdomains,research_types,n_research_types,singapore_led,is_international,first_author,last_author,first_author_country,last_author_country,sg_institutions,countries,institutions,topic_id,topic_label,topic_terms,topic_map_x,topic_map_y,screening_decision,screening_decided_by,screening_rules,screening_flags,sources,query_ids,needs_manual_metadata
doi:10.1093/jambio/lxag031,41604208,,10.1093/jambio/lxag031,https://pubmed.ncbi.nlm.nih.gov/41604208/,bla TEM-1 and blaTEM-176 overexpression underlies atypical ampicillin/sulbactam resistance in non-ESBL Salmonella from raw chicken.,Journal of applied microbiology,J Appl Microbiol,2026,2026-Feb-02,eng,Journal Article,2,2,2,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Microbial Sensitivity Tests|Escherichia coli|beta-Lactamases,,0,1,1,"Zwe, Ye Htut","Yuk, Hyun-Gyun",Singapore,Republic of Korea,National University of Singapore|Singapore Food Agency,Republic of Korea|Singapore,National University of Singapore|Singapore Food Agency,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.572293,0.157243,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_2|geo_amr_hai_5,0
doi:10.1128/spectrum.00627-26,42148585,PMC13339808,10.1128/spectrum.00627-26,https://pubmed.ncbi.nlm.nih.gov/42148585/,antimicrobial resistance properties of rifapentine and rifampicin are indistinguishable.,Microbiology spectrum,Microbiol Spectr,2026,2026-05-18,eng,Journal Article,5,3,1,tb,Tuberculosis,tb|amr_hai,1,Antitubercular Agents,Antitubercular Agents|Mycobacterium tuberculosis|Rifampin|Microbial Sensitivity Tests,Genomics,1,1,0,"Barcelli, Valeria","Bifani, Pablo",Singapore,Singapore,A*STAR Infectious Diseases Labs|Nanyang Technological University|National University of Singapore,Singapore,A*STAR Infectious Diseases Labs|Nanyang Technological University|National University of Singapore,tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.884525,0.391925,include,mechanical,INC-GEO-01,,pubmed,geo_tb_1|geo_tb_2|geo_tb_3,0
doi:10.1371/journal.pntd.0014584,42531271,PMC13422884,10.1371/journal.pntd.0014584,https://pubmed.ncbi.nlm.nih.gov/42531271/,Zoonotic neglected tropical diseases at the animal-human interface in the Greater Mekong Subregion: Two decades of surveillance in Laos and Cambodia.,PLoS neglected tropical diseases,PLoS Negl Trop Dis,2026,2026-07-30,eng,Journal Article|Review,25,4,7,vector_borne,Vector-borne diseases,vector_borne,0,Other/unspecified,,Surveillance and epidemiology|Transmission,2,0,1,"Blacksell, Stuart D","Day, Nicholas P J",Australia,Thailand,National University of Singapore,Australia|Cambodia|Malaysia|Singapore|Switzerland|Thailand|United Kingdom,Mahidol University|National University of Singapore|University of Oxford|World Health Organization,vector_borne_t2,"surveillance, including, diversity, health","surveillance, including, diversity, health, capacity, research, evidence, integrated",0.43937,0.730355,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_vector_borne_2,0
doi:10.3390/ijms27031504,41683925,PMC12897963,10.3390/ijms27031504,https://pubmed.ncbi.nlm.nih.gov/41683925/,Zika NS2B Protein: In Vitro Formation of Large Multimeric Networks.,International journal of molecular sciences,Int J Mol Sci,2026,2026-02-03,eng,Journal Article,3,1,1,vector_borne,Vector-borne diseases,vector_borne,0,Zika Virus,Zika Virus|Viral Nonstructural Proteins,Basic research,1,1,0,"Ponniah, Caleb","Torres, Jaume",Singapore,Singapore,Nanyang Technological University,Singapore,Nanyang Technological University,vector_borne_t3,"malaria, plasmodium, cell, cells","malaria, plasmodium, cell, cells, responsible, parasite, erythrocytes, binding",0.039372,0.226084,include,mechanical,INC-GEO-01,,pubmed,geo_vector_borne_5,0
doi:10.1186/s12889-026-26979-0,41840620,PMC13107881,10.1186/s12889-026-26979-0,https://pubmed.ncbi.nlm.nih.gov/41840620/,Whole genome sequencing for Mycobacterium tuberculosis in public health responses: a review of current practice and enablers in select low-incidence jurisdictions.,BMC public health,BMC Public Health,2026,2026-03-17,eng,Journal Article|Review,16,2,6,tb,Tuberculosis,tb,0,Mycobacterium tuberculosis,Mycobacterium tuberculosis|Tuberculosis,Genomics|Surveillance and epidemiology|Transmission,3,0,1,"Denholm, Justin T","Donnan, Ellen J",Australia,Australia,National Centre for Infectious Diseases,Australia|Canada|Netherlands|Singapore|United Kingdom|United States,National Centre for Infectious Diseases|University of Melbourne,tb_t1,"antitubercular, drug, agents, multidrug-resistant","antitubercular, drug, agents, multidrug-resistant, treatment, rifampin, drugs, mycobacterium",0.681736,0.771893,include,mechanical,INC-GEO-01,regional_participation,pubmed,geo_tb_3,0
doi:10.1016/j.avsg.2025.12.042,41525985,,10.1016/j.avsg.2025.12.042,https://pubmed.ncbi.nlm.nih.gov/41525985/,When Infections Hurt More: Black Patients Experience More Severe Surgical Site Infections Following Lower Extremity Bypass.,Annals of vascular surgery,Ann Vasc Surg,2026,2026-01-10,eng,Journal Article|Comparative Study,4,1,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Surgical Wound Infection,Surgical Wound Infection,Treatment|Surveillance and epidemiology,2,0,0,"Eze, Anthony N","Kim, Young",,,Duke-NUS Medical School,Singapore,Duke-NUS Medical School,amr_hai_t1,"infection, hospital, included, prevention","infection, hospital, included, prevention, conducted, outcomes, january, interventions",0.154769,0.916112,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_5,0
doi:10.1001/jamanetworkopen.2026.28389,42579278,PMC13463173,10.1001/jamanetworkopen.2026.28389,https://pubmed.ncbi.nlm.nih.gov/42579278/,Vertical Vaccination Against Infant Influenza Hospitalization in a Tropical Setting.,JAMA network open,JAMA Netw Open,2026,2026-08-03,eng,Journal Article,15,9,1,rti,Respiratory-tract infections,rti,0,"Influenza, Human","Influenza, Human",Vaccine|Clinical studies,2,1,0,"Wee, Liang En","Tan, Kelvin Bryan",Singapore,Singapore,Communicable Diseases Agency|KK Women's and Children's Hospital|Nanyang Technological University|National Centre for Infectious Diseases|National University Health System|National University Hospital|National University of Singapore|Singapore General Hospital|Tan Tock Seng Hospital,Singapore,Communicable Diseases Agency|KK Women's and Children's Hospital|Nanyang Technological University|National Centre for Infectious Diseases|National University Health System|National University Hospital|National University of Singapore|Singapore General Hospital|Tan Tock Seng Hospital,rti_t1,"incidence, months, remained, maternal","incidence, months, remained, maternal, infants, retrospective, database, april",0.703822,0.520258,include,mechanical,INC-GEO-01,,pubmed,geo_rti_2|geo_rti_4|geo_rti_5,0
doi:10.1002/anie.202517460,41937098,,10.1002/anie.202517460,https://pubmed.ncbi.nlm.nih.gov/41937098/,Varying Carbene Persistence in Membrane as a Mechanism for Modulating Antibacterial Carbon Acid Oligomer Killing Efficacy.,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl,2026,2026-04-05,eng,"Journal Article|Research Support, Non-U.S. Gov't",10,1,1,amr_hai,AMR and healthcare-associated infections,amr_hai,0,Anti-Bacterial Agents,Anti-Bacterial Agents|Microbial Sensitivity Tests|Klebsiella pneumoniae,,0,1,0,"Vu, Quang Huy Nhat","Chan-Park, Mary B",Singapore,Singapore,Nanyang Technological University,Singapore,Nanyang Technological University,amr_hai_t2,"agents, tests, activity, sensitivity","agents, tests, activity, sensitivity, antibacterial, anti-bacterial, animals, microbial",0.457372,0.0,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_2|geo_amr_hai_5,0
doi:10.1136/bmjopen-2025-103987,42601098,PMC13479489,10.1136/bmjopen-2025-103987,https://pubmed.ncbi.nlm.nih.gov/42601098/,Validation of the Postpartum Sleep Quality Scale and assessment of postpartum sleep quality in Vietnam during the COVID-19 pandemic.,BMJ open,BMJ Open,2026,2026-08-14,eng,Journal Article|Validation Study|Observational Study,16,1,5,rti,Respiratory-tract infections,rti,0,COVID-19,COVID-19|SARS-CoV-2,,0,1,1,"Nguyen, Ha Thu Thi","Ho, Cyrus S H",Viet Nam,Singapore,National University of Singapore,China|France|Republic of Korea|Singapore|Viet Nam,National University of Singapore,rti_t1,"incidence, months, remained, maternal","incidence, months, remained, maternal, infants, retrospective, database, april",0.878375,0.324991,include,mechanical,INC-GEO-01,,pubmed,geo_amr_hai_4|geo_rti_1|geo_rti_4|geo_rti_5,0
doi:10.1038/s41598-026-64190-8,42618711,PMC13490519,10.1038/s41598-026-64190-8,https://pubmed.ncbi.nlm.nih.gov/42618711/,Vaccination-first immune priming shapes a sustained mRNA vaccine-induced IgG4 class switch that associates with SARS-CoV-2 breakthrough infection risk.,Scientific reports,Sci Rep,2026,2026-08-12,eng,"Journal Article|Research Support, Non-U.S. Gov't",15,2,3,rti,Respiratory-tract infections,rti,0,COVID-19,"COVID-19|SARS-CoV-2|COVID-19 Vaccines|Antibodies, Neutralizing|Antibodies, Viral",Vaccine|Immunology,2,0,1,"Pongrácz, Tamás","Thålin, Charlotte",Sweden,Sweden,National University Health System|National University of Singapore,Netherlands|Singapore|Sweden,National University Health System|National University of Singapore,rti_t2,"sars-cov-2, responses, immune, vaccine","sars-cov-2, responses, immune, vaccine, vaccines, spike, humans, female",0.486273,0.645054,include,mechanical,INC-GEO-01,,pubmed,geo_all_id_1|geo_rti_3|geo_rti_4|geo_rti_5,0
